,,
Date,Input,Output
2022-10-26 22:02:06.663347,5 + 5 * 5,30
Date,Input,Output
2022-10-26 22:02:24.436126,(15 * 2) / 5,6.0
Date,Input,Output
2022-10-26 22:02:48.038814,(5 + 6i) + (15 - 5i),20+1i
Date,Input,Output
2022-10-26 22:15:15.023355,26 - 34,-8
Date,Input,Output
2022-10-26 22:15:56.171678,(14 - 5i) * (5 + 7i),105+73i
Date,Input,Output
2022-10-27 08:41:41.452772,5/0,Wrong input
Date,Input,Output
2022-11-08 16:28:38.307878,5+ 4,9
Date,Input,Output
2022-11-08 16:29:04.916303,fdfd,Wrong input
Date,Input,Output
2022-11-08 16:29:20.948814,5/0,Wrong input
Date,Input,Output
2022-11-08 16:29:45.988088,(5 + 6) * 3 - 5,28
Date,Input,Output
2022-11-08 16:30:25.776105,(4 - 4 0 - 6) + 5,-37
Date,Input,Output
2022-11-08 16:32:16.292259,34(5*5),25
Date,Input,Output
2022-11-08 16:37:47.031621,25 - 5 - (5* 5),-5
Date,Input,Output
2022-11-08 16:38:29.201749,25 - 5 + 44 - (5* 5),39
Date,Input,Output
2022-11-08 16:39:46.405504,25-5,20
Date,Input,Output
2022-11-08 16:40:05.423959,25-5*(3-2),20
Date,Input,Output
2022-11-08 16:45:38.198592,55(5*5),25
Date,Input,Output
2022-11-08 16:47:43.623168,5+5,10
Date,Input,Output
2022-11-08 20:00:35.738449,(5*5) 55,25
Date,Input,Output
2022-11-08 20:01:09.899841,34(5*5),25
Date,Input,Output
2022-11-08 20:03:12.669857,(5*5) 34,25
Date,Input,Output
2022-11-08 20:03:24.630805,(5*5)34,25
Date,Input,Output
2022-11-08 20:03:50.099877,34(5*5),25
Date,Input,Output
2022-11-08 20:32:54.893201,5/0,На ноль делить нельзя!!! /start
Date,Input,Output
2022-11-08 20:33:17.791340,dfd,Неверный ввод!!! /start
Date,Input,Output
2022-11-08 20:34:30.887606,(1  -1i) + (4 - 3i),5-4i
Date,Input,Output
2022-11-08 21:13:26.149324,dgdgd,Ошибка ввода
Date,Input,Output
2022-11-08 21:13:47.788804,(9- 3) * (5 + 6),Неверный ввод
Date,Input,Output
2022-11-08 21:14:24.917282,(8-7i) / (3 + 4i),-4-53+i/25
Date,Input,Output
2022-11-08 21:15:42.810702,(2 + 2i) / (2+2i),8+i/8
Date,Input,Output
2022-11-08 21:17:28.085661,(2+3i) *(3- 4i),18+1i
Date,Input,Output
2022-11-08 22:21:45.359465,/complex,Неверный ввод!!!
Date,Input,Output
2022-11-09 12:22:07.172398,(56-6i) + (6-3i),62-9i
